Term (EN),Translation (IT),Part of Speech,Description,Domain
Wayfarer Guide,Viaggiatore Guida,noun,Class,Classes
Wild Mage,Mago Selvaggio,noun,Class,Classes
Wild Plains Outrider,Avanguardia delle Pianure Selvagge,noun,Class,Classes
Wizard,Mago,noun,Character class,Classes
Wonderworker,Creatore di Meraviglie,noun,Class,Classes
Aberration Banemagic,Magia Anatema delle Aberrazioni,noun,Feat,Feats
Aberration Blood,Stirpe di Aberrazione,noun,Feat,Feats
Aberration Wild Shape,Forma Selvatica di Aberrazione,noun,Feat,Feats
Ability Focus,Capacità Focalizzata,noun,Feat,Feats
Able Learner,Abile Allievo,noun,Feat,Feats
Abyss-Bound Soul,Anima Legata,noun,Feat,Feats
Acheron Flurry,Raffica dell'Acheronte,noun,Feat,Feats
Acrobatic,Acrobatico,noun,Feat,Feats
Adroit Flyby Attack,Attacco in Volo Agile,noun,Feat,Feats
Agile Tyrant,Tiranno Agile,noun,Feat,Feats
Air Heritage,Eredità dell'Aria,noun,Feat,Feats
Alertness,Allerta,noun,Feat,Feats
Anarchic Heritage,Eredità Anarchica,noun,Feat,Feats
Ancestral Knowledge,Conoscenze Ancestrali,noun,Feat,Feats
Ancestral Relic,Reliquia Ancestrale,noun,Feat,Feats
Animal Affinity,Affinità Animale,noun,Feat,Feats
Animal Friend,Amico degli Animali,noun,Feat,Feats
Anvil of Thunder,Incudine Tonante,noun,Feat,Feats
Appraise Magic Value,Valutare Valore Magico,noun,Feat,Feats
Aquatic Spellcasting,Incanalare Acqua,noun,Feat,Feats
Arcane Defense,Difesa Arcana,noun,Feat,Feats
Arcane Disciple,Discepolo Arcano,noun,Feat,Feats
Arcane Insight,Intuito Arcano,noun,Feat,Feats
Arcane mastery,Padronanza Arcana,noun,Feat,Feats
Arcane Preparation,Preparazione Arcana,noun,Feat,Feats
Arcane Strike,Colpo Arcano,noun,Feat,Feats
Archivist of Nature,Archivista della Natura,noun,Feat,Feats
Armor Proficiency (Heavy),Competenza nelle Armature Pesanti,noun,Feat,Feats
Armor Proficiency (Light),Competenza nelle Armature Leggere,noun,Feat,Feats
Armor Proficiency (Medium),Competenza nelle Armature Medie,noun,Feat,Feats
Armor Skin,Pelle Corazzata,noun,Feat,Feats
Arterial Strike,Colpo Emorralgico,noun,Feat,Feats
Ascetic Hunter,Cacciatore Ascetico,noun,Feat,Feats
Ascetic Knight,Cavaliere Ascetico,noun,Feat,Feats
Ascetic Rogue,Ladro Ascetico,noun,Feat,Feats
Athletic,Atletico,noun,Feat,Feats
Augment Healing,Aumentare Guarigione,noun,Feat,Feats
Augment Summoning,Evocazione Potenziata,noun,Feat,Feats
Augmented Alchemy,Alchimia Accresciuta,noun,Feat,Feats
Auspicious Marking,Macula dell'Auspicio,noun,Feat,Feats
Automatic Quicken Spell,Incantesimi Rapidi Automatici,noun,Feat,Feats
Automatic Silent Spell,Incantesimi Silenziosi Automatici,noun,Feat,Feats
Automatic Still Spell,Incantesimi Immobili Automatici,noun,Feat,Feats
Awaken Frightful Presence,Risvegliare Presenza Terrificante,noun,Feat,Feats
Awaken Spell Resistance,Risvegliare Resistenza agli Incantesimi,noun,Feat,Feats
Awesome Blow,Colpo Terrificante,noun,Feat,Feats
Axespike,Ascia Chiodata,noun,Feat,Feats
Axiomatic Heritage,Eredità Assiomatica,noun,Feat,Feats
Axiomatic Strike,Colpo Assiomatico,noun,Feat,Feats
Baleful Moan,Lamento Funesto,noun,Feat,Feats
Bane Magic,Magia Anatema,noun,Feat,Feats
Bane of the Unclean,Anatema degli Impuri,noun,Feat,Feats
Battle Caster,Incantatore da Battaglia,noun,Feat,Feats
Battle Hardened,Temprato dalla Battaglia,noun,Feat,Feats
Bear Fang,Zanna dell'Orso,noun,Feat,Feats
Bestial Hide,Pelle Bestiale,noun,Feat,Feats
Black Lore of Moil,Sapienza Nera di Moil,noun,Feat,Feats
Blind-Fight,Combattere alla Cieca,noun,Feat,Feats
Blindsense,Percezione Cieca,noun,Feat,Feats
Blood Calls to Blood,Sangue Chiama Sangue,noun,Feat,Feats
Blood War Conscript,Recluta della Guerra Sanguinosa,noun,Feat,Feats
Boar's Ferocity,Ferocia del Cinghiale,noun,Feat,Feats
Bolster Resistance,Rinforzare Resistenza,noun,Feat,Feats
Bonus Domain,Dominio Bonus,noun,Feat,Feats
Born of the Three Thunders,Nato dai Tre Tuoni,noun,Feat,Feats
Brachiation,Movimento Brachiale,noun,Feat,Feats
Brew Potion,Mescere Pozioni,noun,Feat,Feats
Bright Sigil,Sigillo Splendente,noun,Feat,Feats
Brutal Throw,Lancio Brutale,noun,Feat,Feats
Burrow friend,Amico degli Animali in Tana,noun,Feat,Feats
Cavalry Charger,Carica del Cavaliere,noun,Feat,Feats
Celestial Familiar,Famiglio Celestiale,noun,Feat,Feats
Celestial Heritage,Eredità Celestiale,noun,Feat,Feats
Celestial Mount,Cavalcatura Celestiale,noun,Feat,Feats
Celestial Summoning Specialist,Specialista nell'Evocazione Celestiale,noun,Feat,Feats
Chain Spell,Incantesimi Concatenati,noun,Feat,Feats
Channeled Rage,Ira Incanalata,noun,Feat,Feats
Chant of Fortitude,Canto della Tempra,noun,Feat,Feats
Chaotic Spell Recall,Ricordare Incantesimo Caotico,noun,Feat,Feats
Cheetah's Speed,Velocità del Ghepardo,noun,Feat,Feats
City Slicker,Cittadino Scaltro,noun,Feat,Feats
Clan Prestige,Prestigio del Clan,noun,Feat,Feats
Cleave,Fendente,noun,Feat,Feats
Clever Wrestling,Abile nella Lotta,noun,Feat,Feats
Climb like an Ape,Scalare Come un Gorilla,noun,Feat,Feats
Clinging Breath,Soffio Impregnante,noun,Feat,Feats
Cloak of the Obyrith,Mantello degli Obyrith,noun,Feat,Feats
Close-Quarters Fighting,Combattimento Ravvicinato,noun,Feat,Feats
Collegiate Wizard,Mago di Collegio,noun,Feat,Feats
Combat Archery,Arciere in Combattimento,noun,Feat,Feats
Combat Brute,Combattimento Brutale,noun,Feat,Feats
Combat Casting,Incantare in Combattimento,noun,Feat,Feats
Combat Expertise,Maestria in Combattimento,noun,Feat,Feats
Combat Intuition,Intuizione in Combattimento,noun,Feat,Feats
Combat Reflexes,Riflessi in Combattimento,noun,Feat,Feats
Communicator,Comunicatore,noun,Feat,Feats
Complementary Insight,Intuito Complementare,noun,Feat,Feats
Consecrate Spell,Incantesimi Consacrati,noun,Feat,Feats
Consecrate Spell Like Ability,Capacità Magica Consacrata,noun,Feat,Feats
Consecrate Spell Trigger,Incantesimi ad Attivazione Consacrati,noun,Feat,Feats
Contagious Paralysis,Paralisi Contagiosa,noun,Feat,Feats
Cooperative Spell,Incantesimi Cooperativi,noun,Feat,Feats
Corpsecrafter,Artigianato dei Cadaveri,noun,Feat,Feats
Corrupt Arcana,Arcani Corrotti,noun,Feat,Feats
Corrupt Spell,Incantesimi Corrotti,noun,Feat,Feats
Corrupt Spell Focus,Incantesimi Focalizzati Corrotti,noun,Feat,Feats
Corrupted Wild Shape,Forma Selvatica Corrotta,noun,Feat,Feats
Cougar's Vision,Visione del Puma,noun,Feat,Feats
Craft Aboleth Glyph,Creare Glifo Aboleth,noun,Feat,Feats
Craft Construct,Creare Costrutti,noun,Feat,Feats
Craft Contingent Spell,Creare Incantesimi Contingenti,noun,Feat,Feats
Craft Magic Arms and Armor,Creare Armi e Armature Magiche,noun,Feat,Feats
Craft Psionic Seal,Creare Sigillo Psionico,noun,Feat,Feats
Craft Rod,Creare Verghe,noun,Feat,Feats
Craft Rune Circle,Creare Cerchi di Rune,noun,Feat,Feats
Craft Staff,Creare Bastoni,noun,Feat,Feats
Craft Wand,Creare Bacchette,noun,Feat,Feats
Craft Wondrous Item,Creare Oggetti Meravigliosi,noun,Feat,Feats
Crescent Moon,Luna Crescente,noun,Feat,Feats
Crowd Tactics,Tattiche nella Folla,noun,Feat,Feats
Cunning Sidestep,Passo Laterale Astuto,noun,Feat,Feats
Damage Reduction,Riduzione del Danno,noun,Feat,Feats
Danger Sense,Senso del Pericolo,noun,Feat,Feats
Dark Speech,Lingua Oscura,noun,Feat,Feats
Darkstalker,Segugio delle Tenebre,noun,Feat,Feats
Dash,Scattare,noun,Feat,Feats
Daunting Presence,Presenza Intimidente,noun,Feat,Feats
Deadly Chill,Gelo Mortale,noun,Feat,Feats
Death Blow,Colpo Letale,noun,Feat,Feats
Death Frenzy,Frenesia di Morte,noun,Feat,Feats
Death Master,Maestro della Morte,noun,Feat,Feats
Debilitating Spell,Incantesimi Debilitanti,noun,Feat,Feats
Debilitating Strike,Colpo Debilitante,noun,Feat,Feats
Deceitful,Ingannevole,noun,Feat,Feats
Deep Vision,Visione Profonda,noun,Feat,Feats
Deepspawn,Progenie degli Abissi,noun,Feat,Feats
Defensive Strike,Colpo Difensivo,noun,Feat,Feats
Defensive Throw,Atterramento Difensivo,noun,Feat,Feats
Deflect Arrows,Deviare Frecce,noun,Feat,Feats
Deflective Armor,Armatura Deflettente,noun,Feat,Feats
Deformity (Skin),Deformità (Pelle),noun,Feat,Feats
Deformity (Tall),Deformità (Altezza),noun,Feat,Feats
Deformity (Teeth),Deformità (Denti),noun,Feat,Feats
Deformity (Tongue),Deformità (Lingua),noun,Feat,Feats
Deft Hands,Mani Abili,noun,Feat,Feats
Deft Opportunist,Agile Opportunista,noun,Feat,Feats
Deft Strike,Colpo Lesto,noun,Feat,Feats
Delay Spell,Incantesimi Ritardati,noun,Feat,Feats
Demon Mastery,Padronanza dei Demoni,noun,Feat,Feats
Demonic Conduit,Condotto Demoniaco,noun,Feat,Feats
Demonic Skin,Pelle Demoniaca,noun,Feat,Feats
Demonic Sneak Attack,Attacco Furtivo Demoniaco,noun,Feat,Feats
Destruction Retribution,Castigo Distruttivo,noun,Feat,Feats
Destructive Rage,Ira Distruttiva,noun,Feat,Feats
Devastating Critical,Critico Devastante,noun,Feat,Feats
Devoted Inquisitor,Inquisitore Devoto,noun,Feat,Feats
Devoted Performer,Intrattenitore Devoto,noun,Feat,Feats
Devoted Tracker,Segugio Devoto,noun,Feat,Feats
Diehard,Duro a Morire,noun,Feat,Feats
Diligent,Diligente,noun,Feat,Feats
Dire Charge,Carica Crudele,noun,Feat,Feats
Disciple of the Sun,Discepolo del Sole,noun,Feat,Feats
Disease Immunity,Immunità alle Malattie,noun,Feat,Feats
Disguise Spell,Incantesimi Camuffati,noun,Feat,Feats
Disintegration Finesse,Disintegrazione Accurata,noun,Feat,Feats
Disjunction Ray,Raggio di Disgiunzione,noun,Feat,Feats
Dive For Cover,Tuffarsi in Copertura,noun,Feat,Feats
Diverse Background,Background Eterogeneo,noun,Feat,Feats
Divine Accuracy,Accuratezza Divina,noun,Feat,Feats
Divine Cleansing,Purificazione Divino,noun,Feat,Feats
Divine Damage Reduction,Riduzione del Danno Divina,noun,Feat,Feats
Divine Metamagic,Metamagia Divina,noun,Feat,Feats
Divine Resistance,Resistenza Divino,noun,Feat,Feats
Divine Shield,Scudo Divino,noun,Feat,Feats
Divine Spell Power,Potere Magico Divino,noun,Feat,Feats
Divine Spellshield,Scudo Magico Divino,noun,Feat,Feats
Divine Vigor,Vigore Divino,noun,Feat,Feats
Dodge,Schivare,noun,Feat,Feats
Domain Focus,Dominio Focalizzato,noun,Feat,Feats
Domain Spontaneity,Dominio Spontaneo,noun,Feat,Feats
Draconic Archivist,Archivista Draconico,noun,Feat,Feats
Draconic Breath,Soffio Draconico,noun,Feat,Feats
Draconic Claw,Artigli Draconici,noun,Feat,Feats
Draconic Flight,Volo Draconico,noun,Feat,Feats
Draconic Heritage,Eredità Draconico,noun,Feat,Feats
Draconic Knowledge,Conoscenze Draconiche,noun,Feat,Feats
Draconic Legacy,Retaggio Draconico,noun,Feat,Feats
Draconic Presence,Presenza Draconica,noun,Feat,Feats
Draconic Resistance,Resistenza Draconica,noun,Feat,Feats
Draconic Skin,Pelle Draconica,noun,Feat,Feats
Dragon Cohort,Gregario Draconico,noun,Feat,Feats
Dragon Familiar,Famiglio Draconico,noun,Feat,Feats
Dragon Hunter Bravery,Cacciatore di Draghi Coraggioso,noun,Feat,Feats
Dragon Hunter Defense,Cacciatore di Draghi Difensore,noun,Feat,Feats
Dragon Steed,Destriero Draconico,noun,Feat,Feats
Dragon Wild Shape,Forma Selvatica Draghesca,noun,Feat,Feats
Dragonbane,Anatema dei Draghi,noun,Feat,Feats
Dragoncrafter,Artigiano Draconico,noun,Feat,Feats
Dragondoom,Piaga dei Draghi,noun,Feat,Feats
Dragonfoe,Nemico dei Draghi,noun,Feat,Feats
Dragonfriend,Amico dei Draghi,noun,Feat,Feats
Dragonsong,Canto dei Draghi,noun,Feat,Feats
Dragonthrall,Servitore dei Draghi,noun,Feat,Feats
Dread Tyranny,Tirannia del Terrore,noun,Feat,Feats
Dreamtelling,Interpretazione dei Sogni,noun,Feat,Feats
Dual Strike,Colpo Doppio,noun,Feat,Feats
Durable Form,Forma Duratura,noun,Feat,Feats
Dwarven Armor Proficiency,Competenza nelle Armature Naniche,noun,Feat,Feats
Eagle Claw Attack,Artiglio dell'Aquila,noun,Feat,Feats
Eagle's Wings,Ali dell'Aquila,noun,Feat,Feats
Earth Adept,Adepto della Terra,noun,Feat,Feats
Earth Fist,Pugno della Terra,noun,Feat,Feats
Earth Heritage,Eredità della Terra,noun,Feat,Feats
Earth Master,Maestro della Terra,noun,Feat,Feats
Earth Power,Potenza della Terra,noun,Feat,Feats
Earth Sense,Senso della Terra,noun,Feat,Feats
Earth Spell,Incantesimi della Terra,noun,Feat,Feats
Earth's Embrace,Abbraccio della Terra,noun,Feat,Feats
Earth's Warding,Interdizione della Terra,noun,Feat,Feats
Eldritch Corruption,Corruzione Mistica,noun,Feat,Feats
Elemental Healing,Guarigione Elementale,noun,Feat,Feats
Elemental Smiting,Punire Elementale,noun,Feat,Feats
Elephant's Hide,Pelle dell'Elefante,noun,Feat,Feats
Elusive target,Bersaglio Sfuggente,noun,Feat,Feats
Embed Spell Focus,Focus Incorporato,noun,Feat,Feats
Empower Spell,Incantesimi Potenziati,noun,Feat,Feats
Empower Spell-Like Ability,Capacità Magica Potenziata,noun,Feat,Feats
Empower Turning,Scacciare Potenziato,noun,Feat,Feats
Empowered Ability Damage,Danni alle Caratteristiche Potenzati,noun,Feat,Feats
Enchanting Song,Canto Ammaliatore,noun,Feat,Feats
Endurance,Resistenza Fisica,noun,Feat,Feats
Endure Blows,Resistenza ai Colpi,noun,Feat,Feats
Endure Sunlight,Contrastare la Luce Solare,noun,Feat,Feats
Enduring Life,Vita Resistente,noun,Feat,Feats
Energize Armor,Caricare Armatura,noun,Feat,Feats
Energize Spell,Incantesimi Energizzati,noun,Feat,Feats
Energy Admixture,Miscela Energetica,noun,Feat,Feats
Energy Substitution,Sostituzione Energetica,noun,Feat,Feats
Enhance Spell,Incantesimi Aumentati,noun,Feat,Feats
Enhanced Power Sigils,Sigilli di Potere Potenziati,noun,Feat,Feats
Enlarge Breath,Soffio Ingrandito,noun,Feat,Feats
Enlarge Mucus Cloud,Ingrandire Nube di Muco,noun,Feat,Feats
Enlarge Spell,Incantesimi Estesi,noun,Feat,Feats
Epic,Epico,adj,Feat type,Feats
Epic Combat Expertise,Maestria in Combattimento Epica,noun,Feat,Feats
Epic Devotion,Devozione Epica,noun,Feat,Feats
Epic Dodge,Schivare Epico,noun,Feat,Feats
Epic Fortitude,Tempra Epica,noun,Feat,Feats
Epic Prowess,Prodezza Epica,noun,Feat,Feats
Epic Reflexes,Riflessi Epici,noun,Feat,Feats
Epic Reputation,Reputazione Epica,noun,Feat,Feats
Epic Skill Focus,Abilità Focalizzata Epica,noun,Feat,Feats
Epic Spell Focus,Incantesimi Focalizzati Epici,noun,Feat,Feats
Epic Spell Penetration,Incantesimi Inarrestabili Epici,noun,Feat,Feats
Epic Sunder,Spezzare Epico,noun,Feat,Feats
Epic Toughness,Robustezza Epica,noun,Feat,Feats
Epic Weapon Focus,Arma Focalizzata Epica,noun,Feat,Feats
Epic Will,Volontà Epica,noun,Feat,Feats
Eschew Materials,Escludere Materiali,noun,Feat,Feats
Eternal Strength,Forza Eterna,noun,Feat,Feats
Evil Brand,Marchio Malvagio,noun,Feat,Feats
Eviscerator,Dilaniatore,noun,Feat,Feats
Exalted,Esaltato,adj,Feat type,Feats
Exalted Companion,Compagno Eroico,noun,Feat,Feats
Exalted Smite,Punizione Eroica,noun,Feat,Feats
Exalted Spell Resistance,Resistenza agli Incantesimi Eroica,noun,Feat,Feats
Exalted Turning,Scacciare Eroico,noun,Feat,Feats
Exalted Wild Shape,Forma Selvatica Eroica,noun,Feat,Feats
Exotic Armor Proficiency,Competenza nelle Armature Esotiche,noun,Feat,Feats
Exotic Shield Proficiency,Competenza negli Scudi Esotici,noun,Feat,Feats
Exotic Weapon Proficiency,Competenza nelle Armi Esotiche,noun,Feat,Feats
Expert Tactician,Esperto Tattico,noun,Feat,Feats
Explosive Spell,Incantesimi Esplosivi,noun,Feat,Feats
Extend Rage,Ira Estesa,noun,Feat,Feats
Extend Spell,Incantesimi Estesi,noun,Feat,Feats
Extend Spreading Breath,Soffio Propagante Esteso,noun,Feat,Feats
Extra Edge,Incisività Extra,noun,Feat,Feats
Extra Invocation,Invocazione Extra,noun,Feat,Feats
Extra Music,Musica Extra,noun,Feat,Feats
Extra Rage,Ira Extra,noun,Feat,Feats
Extra Silence,Silenzio Extra,noun,Feat,Feats
Extra Slot,Slot Extra,noun,Feat,Feats
Extra Smiting,Punire Extra,noun,Feat,Feats
Extra Spell,Incantesimo Extra,noun,Feat,Feats
Extra Spell Secret,Incantesimo Segreto Extra,noun,Feat,Feats
Extra Stunning,Stordire Extra,noun,Feat,Feats
Extra Turning,Scacciare Extra,noun,Feat,Feats
Extra Wild Shape,Forma Selvatica Extra,noun,Feat,Feats
Extract Demonic Essence,Estrarre Essenza Demoniaca,noun,Feat,Feats
Extraordinary Concentration,Concentrazione Straordinaria,noun,Feat,Feats
Extraordinary Spell Aim,Incantesimi Mirati Straordinari,noun,Feat,Feats
Eyes in the Back of Your Head,Occhi Dietro la Testa,noun,Feat,Feats
Eyes of the Abyss,Occhi dell'Abisso,noun,Feat,Feats
Familiar Spell,Incantesimo del Famiglio,noun,Feat,Feats
Far Horizons,Orizzonti Lontani,noun,Feat,Feats
Far Shot,Tiro Lontano,noun,Feat,Feats
Fast Healing,Guarigione Rapida,noun,Feat,Feats
Fast Wild Shape,Forma Selvatica Veloce,noun,Feat,Feats
Faster Healing,Guarigione Accelerata,noun,Feat,Feats
Favored of the Companions,Prescelto dei Compagni,noun,Feat,Feats
Favored Power Attack,Attacco Poderoso Prescelto,noun,Feat,Feats
Fearless Destiny,Destino Impavido,noun,Feat,Feats
Fell Animate,Animare Caduti,noun,Feat,Feats
Fell Drain,Risucchiare i Caduti,noun,Feat,Feats
Fell Frighten,Spaventare Caduti,noun,Feat,Feats
Fell Weaken,Indebolire Caduti,noun,Feat,Feats
Fiendish Heritage,Eredità Immonda,noun,Feat,Feats
Fiendish Summoning Specialist,Specialista nell'Evocazione Immonda,noun,Feat,Feats
Fighter Bonus Feat,Talento Bonus Guerriero,adj,Feat type,Feats
Fire Heritage,Eredità del Fuoco,noun,Feat,Feats
Fist of the Heavens,Pugno dei Cieli,noun,Feat,Feats
Fists of Iron,Pugni di Ferro,noun,Feat,Feats
Fleet of Foot,Piè Veloce,noun,Feat,Feats
Flick of the Wrist,Colpo di Polso,noun,Feat,Feats
Fling Ally,Scagliare Alleato,noun,Feat,Feats
Fling Enemy,Scagliare Nemico,noun,Feat,Feats
Flyby Attack,Attacco in Volo,noun,Feat,Feats
Flying Kick,Calcio Volante,noun,Feat,Feats
Focused Antimagic,Anti-Magia Focalizzata,noun,Feat,Feats
Focused Shield,Scudo Focalizzato,noun,Feat,Feats
Font of Life,Fonte della Vita,noun,Feat,Feats
Forbidden Lore,Conoscenze Proibite,noun,Feat,Feats
Force of Personality,Forte Personalità,noun,Feat,Feats
Forge Ring,Forgiare Anelli,noun,Feat,Feats
Formation Expert,Esperto di Formazione,noun,Feat,Feats
Fortify Spell,Incantesimi Fortificati,noun,Feat,Feats
Freezing The Lifeblood,Gelare il Sangue,noun,Feat,Feats
Frightful Presence,Presenza Terrificante,noun,Feat,Feats
General,Generale,adj,Feat type,Feats
Ghost Scarred,Segnato dai Fantasmi,noun,Feat,Feats
Ghostly Grasp,Presa Spettrale,noun,Feat,Feats
Giantbane,Anatema dei Giganti,noun,Feat,Feats
Gift of Faith,Dono della Fede,noun,Feat,Feats
Gift of Grace,Dono della Grazia,noun,Feat,Feats
Glorious Weapons,Armi Gloriose,noun,Feat,Feats
Gnome Foe Killer,Uccisore dei Nemichi Gnomeschi,noun,Feat,Feats
Goad,Stuzzicare,noun,Feat,Feats
Graft Flesh,Innestare Carne,noun,Feat,Feats
Great Cleave,Grande Fendente,noun,Feat,Feats
Great Fortitude,Grande Tempra,noun,Feat,Feats
Great Smiting,Punire Possente,noun,Feat,Feats
Greater Corrupt Spell Focus,Incantesimi Focalizzati Corrotti Superiore,noun,Feat,Feats
Greater Heavy Armor Optimization,Ottimizzazione delle Armature Pesanti Migliorato,noun,Feat,Feats
Greater Kiai Shout,Grido Kiai Superiore,noun,Feat,Feats
Greater Resiliency,Resilienza Superiore,noun,Feat,Feats
Greater Spell Focus,Incantesimi Focalizzati Superiore,noun,Feat,Feats
Greater Spell Penetration,Penetrazione Magica Superiore,noun,Feat,Feats
Greater Two-Weapon Defense,Difendere con Due Armi Superiore,noun,Feat,Feats
Greater Two-Weapon Fighting,Combattere con Due Armi Superiore,noun,Feat,Feats
Greater Weapon Focus,Focalizzazione sull'Arma Superiore,noun,Feat,Feats
Greater Weapon Specialization,Specializzazione sull'Arma Superiore,noun,Feat,Feats
Green Ear,Orecchio Verde,noun,Feat,Feats
Grell Alchemy,Alchimia Grell,noun,Feat,Feats
Grizzly's Claws,Artigli del Grizzly,noun,Feat,Feats
Group Inspiration,Ispirazione di Gruppo,noun,Feat,Feats
Guardian Spirit,Spirito Guardiano,noun,Feat,Feats
Hammer's Edge,Filo del Martello,noun,Feat,Feats
Hamstring,Azzoppare,noun,Feat,Feats
Hands of a Healer,Mani di Guaritore,noun,Feat,Feats
Hardened Flesh,Pelle Indurita,noun,Feat,Feats
Haunting Melody,Melodia Inquietante,noun,Feat,Feats
Hawk's Vision,Visione del Falco,noun,Feat,Feats
Hear The Unseen,Sentire l'Invisibile,noun,Feat,Feats
Heart of the Nabassu,Cuore di Nabassu,noun,Feat,Feats
Heavy Armor Optimization,Ottimizzazione delle Armature Pesanti,noun,Feat,Feats
Heavy Lithoderms,Litodermi Pesanti,noun,Feat,Feats
Heighten Breath,Soffio Intensificato,noun,Feat,Feats
Heighten Spell,Incantesimi Intensificati,noun,Feat,Feats
Heighten Spell-like ability,Capacità Magica Intensificata,noun,Feat,Feats
Heighten Turning,Scacciare Intensificato,noun,Feat,Feats
Heritage,Retaggio,adj,Feat type,Feats
Heroic Destiny,Destino Eroico,noun,Feat,Feats
High Sword Low Axe,Spada ed Ascia Armonizzate,noun,Feat,Feats
Hold the Line,Resistere alla Carica,noun,Feat,Feats
Holy Ki Strike,Colpo Ki Sacro,noun,Feat,Feats
Holy Radiance,Radiosità Sacra,noun,Feat,Feats
Holy Strike,Colpo Sacro,noun,Feat,Feats
Holy Subdual,Debilitazione Sacra,noun,Feat,Feats
Hover,Fluttuare,noun,Feat,Feats
Human Heritage,Retaggio Umano,noun,Feat,Feats
Improved Buckler Defense,Difendere con il Buckler Migliorato,noun,Feat,Feats
Improved Bull Rush,Spingere Migliorato,noun,Feat,Feats
Improved Combat Casting,Incantatore in Combattimento Migliorato,noun,Feat,Feats
Improved Combat Expertise,Maestria in Combattimento Migliorata,noun,Feat,Feats
Improved Counterspell,Controincantesimo Migliorato,noun,Feat,Feats
Improved Critical,Critico Migliorato,noun,Feat,Feats
Improved Disarm,Disarmare Migliorato,noun,Feat,Feats
Improved Diversion,Diversivo Migliorato,noun,Feat,Feats
Improved Elemental Wild Shape,Forma Selvatica Elementale Migliorata,noun,Feat,Feats
Improved Energy Drain,Risucchio di Energia Migliorato,noun,Feat,Feats
Improved Familiar,Famiglio Migliorato,noun,Feat,Feats
Improved Favored Enemy,Nemico Prescelto Migliorato,noun,Feat,Feats
Improved Feint,Fintare Migliorato,noun,Feat,Feats
Improved Flight,Volare Migliorato,noun,Feat,Feats
Improved Grapple,Lottare Migliorato,noun,Feat,Feats
Improved Initiative,Iniziativa Migliorata,noun,Feat,Feats
Improved Maneuverability,Manovrabilità Migliorata,noun,Feat,Feats
Improved Metamagic,Metamagia Migliorata,noun,Feat,Feats
Improved Mounted Archery,Tirare in Sella Migliorato,noun,Feat,Feats
Improved Multiattack,Multiattacco Migliorato,noun,Feat,Feats
Improved Natural Armor,Armatura Naturale Migliorata,noun,Feat,Feats
Improved Natural Attack,Attacco Naturale Migliorato,noun,Feat,Feats
Improved Oneiromancy,Oneiromanzia Superiore,noun,Feat,Feats
Improved Overrun,Oltrepassare Migliorato,noun,Feat,Feats
Improved paralysis,Paralisi Migliorata,noun,Feat,Feats
Improved Precise Shot,Tiro Preciso Migliorato,noun,Feat,Feats
Improved Rapid Shot,Tiro Rapido Migliorato,noun,Feat,Feats
Improved Rapidstrike,Colpo Rapido Migliorato,noun,Feat,Feats
Improved Rock Hurling,Scagliare Rocce Migliorato,noun,Feat,Feats
Improved Shield Bash,Attacco con lo Scudo Migliorato,noun,Feat,Feats
Improved Sigil (Aesh),Sigillo Migliorato (Aesh),noun,Feat,Feats
Improved Sigil (Hoon),Sigillo Migliorato (Hoon),noun,Feat,Feats
Improved Sigil (Krau),Sigillo Migliorato (Krau),noun,Feat,Feats
Improved Sigil (Naen),Sigillo Migliorato (Naen),noun,Feat,Feats
Improved Sigil (Uur),Sigillo Migliorato (Uur),noun,Feat,Feats
Improved Sigil (Vaul),Sigillo Migliorato (Vaul),noun,Feat,Feats
Improved Skirmish,Schermaglia Migliorata,noun,Feat,Feats
Improved Smiting,Punire Migliorato,noun,Feat,Feats
Improved Snatch,Ghermire Migliorato,noun,Feat,Feats
Improved Sneak Attack,Attacco Furtivo Migliorato,noun,Feat,Feats
Improved Speed,Velocità Migliorata,noun,Feat,Feats
Improved Spell Capacity,Capienza di Incantesimi Migliorata,noun,Feat,Feats
Improved Stunning Fist,Pugno Stordente Migliorato,noun,Feat,Feats
Improved Sudden Strike,Colpo Improvviso Migliorato,noun,Feat,Feats
Improved Sunder,Spezzare Migliorato,noun,Feat,Feats
Improved Swimming,Nuotare Migliorato,noun,Feat,Feats
Improved Toughness,Robustezza Migliorata,noun,Feat,Feats
Improved Trip,Sbilanciare Migliorato,noun,Feat,Feats
Improved Turn Resistance,Resistenza allo Scacciare Migliorata,noun,Feat,Feats
Improved Turning,Scacciare Migliorato,noun,Feat,Feats
Improved Two-Weapon Defense,Difendere con Due Armi Migliorato,noun,Feat,Feats
Improved Two-Weapon Fighting,Combattere con Due Armi Migliorato,noun,Feat,Feats
Improved Unarmed Strike,Colpo Senz'Armi Migliorato,noun,Feat,Feats
Improved Weapon Familiarity,Familiarità nelle Armi Migliorata,noun,Feat,Feats
Inhuman Reach,Portata Inumana,noun,Feat,Feats
Inhuman Vision,Visione Inumana,noun,Feat,Feats
Innate Spell,Incantesimo Innato,noun,Feat,Feats
Inside Connection,Amicizie Interne,noun,Feat,Feats
Insightful,Intuitivo,noun,Feat,Feats
Insightful Reflexes,Riflessi Intuitivi,noun,Feat,Feats
Inspire Spellpower,Ispirare Potenza degli Incantesimi,noun,Feat,Feats
Instantaneous Rage,Ira Istantanea,noun,Feat,Feats
Intimidating Rage,Ira Intimidatoria,noun,Feat,Feats
Intuitive Attack,Attacco Intuitivo,noun,Feat,Feats
